https://en.wikipedia.org/wiki/Sia_(musician)|Sia|NULL|Sia|       Pop music
https://en.wikipedia.org/wiki/Amazarashi|amazarashi|Mutsu|Aomori|Alternative rock
https://en.wikipedia.org/wiki/Rise_Against|Rise Against|Chicago|U.S.|Melodic hardcore
https://en.wikipedia.org/wiki/O_Rappa|O Rappa|Rio de Janeiro|Brazil |            = Reggae fusion, rap rock, samba rock, funk rock, alternative hip-hop

https://en.wikipedia.org/wiki/The_Roots|The Roots |{{nowrap|Philadelphia|U.S.}}|Hip hop music
https://en.wikipedia.org/wiki/Gnarls_Barkley|Gnarls Barkley|{{nowrap|Philadelphia|ULL|Soul music
https://en.wikipedia.org/wiki/Beastie_Boys|Beastie Boys|New York City|New York|U.S.|Hip hop music
https://en.wikipedia.org/wiki/The_Prodigy|The Prodigy|Braintree|England|Big beat
https://en.wikipedia.org/wiki/Outkast|OutKast|East Point|U.S.|           Alternative hip hop
https://en.wikipedia.org/wiki/Guns_N%27_Roses|Guns N' Roses|Los Angeles|U.S.| =<!-- Per discussion on talk page, hard rock and heavy metal to be only genres listed, other genres discussed in article-->flatlist 
https://en.wikipedia.org/wiki/Nirvana_(band)|Nirvana|Aberdeen|U.S.|          <!-- Please do NOT add "punk rock" to the genre list. It has been discussed extensively on the talk page where a consensus has been reached that it is NOT appropriate. -->Alternative rock
https://en.wikipedia.org/wiki/Led_Zeppelin|Led Zeppelin|London|England|Hard rock
https://en.wikipedia.org/wiki/50_Cent|50 Cent|London|ULL|        = Hip hop music
https://en.wikipedia.org/wiki/The_Beatles|The Beatles|Liverpool|England|            = <!-- Current consensus is to list ONLY Rock and pop. Please do not add other genres or sub-genres without first reaching consensus with other editors on the talk page. Thank you. --> 
hlist
https://en.wikipedia.org/wiki/AC/DC|C/DC|Sydney|Australia|Hard rock
https://en.wikipedia.org/wiki/Metallica|Metallica|NULL||           = <!-- Do not add, remove or change genres without discussing on the talk page first. -->hlist
https://en.wikipedia.org/wiki/Angra_(band)|Angra|São Paulo|Brazil|           Power metal
https://en.wikipedia.org/wiki/Manowar|Manowar|Auburn|United States| = Heavy metal music
https://en.wikipedia.org/wiki/The_Smiths|The Smiths|Manchester|England|          = <!-- The consensus to date has been to minimise the number of genres included in this infobox. Please discuss any additions on talk page before editing this section -->
flatlist
https://en.wikipedia.org/wiki/Tears_for_Fears|Tears for Fears|Bath|England|          New wave music
https://en.wikipedia.org/wiki/Fear_Factory|Fear Factory|Los Angeles|U.S.|Industrial metal
https://en.wikipedia.org/wiki/Zakk_Wylde|Zakk Wylde|NULL|k Wylde| = Heavy metal music
https://en.wikipedia.org/wiki/Johnny_Cash|Johnny Cash|NULL|ULL| Kingsland, Arkansas
https://en.wikipedia.org/wiki/Texas_Hippie_Coalition|Texas Hippie Coalition|Denison|United States|           Heavy metal music
https://en.wikipedia.org/wiki/Scorpions_(band)|Scorpions|Hanover|West Germany|Hard rock
https://en.wikipedia.org/wiki/The_Strokes|The Strokes|New York City|U.S.|            = <!-- these genres are sourced in the musical style section of the text -->
flatlist
https://en.wikipedia.org/wiki/The_Voidz|The Voidz|NULL||            = Experimental rock<ref>Cite news
